layer,digit_pretrained,digit_random,speaker_pretrained,speaker_random
0,0.9883333333333333,0.645,0.9916666666666667,0.87
1,0.99,0.6616666666666666,0.9966666666666667,0.8816666666666667
2,0.9983333333333333,0.655,1.0,0.8866666666666667
3,0.9933333333333333,0.6566666666666666,0.9983333333333333,0.8816666666666667
4,0.99,0.6333333333333333,0.9933333333333333,0.87
5,0.9916666666666667,0.635,0.995,0.8733333333333333
6,0.9883333333333333,0.62,0.99,0.875
7,0.9916666666666667,0.625,0.9833333333333333,0.8833333333333333
8,0.9616666666666667,0.6166666666666667,0.9483333333333334,0.8716666666666667
9,0.96,0.625,0.95,0.875
10,0.9383333333333334,0.6266666666666667,0.9483333333333334,0.8716666666666667
11,0.9016666666666666,0.635,0.92,0.8633333333333333
12,0.88,0.6133333333333333,0.92,0.8516666666666667
